br,qtd,ano
101,25947,2007
101,36838,2008
101,60484,2009
101,67859,2010
101,71097,2011
101,45275,2012
101,69165,2013
101,65746,2014
101,45564,2015
101,31645,2016
101,32728,2017
101,27344,2018
101,27411,2019
101,25286,2020
101,27183,2021
101,26584,2022
101,28909,2023
101,20890,2024
116,25292,2007
116,36661,2008
116,57001,2009
116,65243,2010
116,68792,2011
116,44374,2012
116,67360,2013
116,61320,2014
116,42247,2015
116,32445,2016
116,32617,2017
116,24769,2018
116,24252,2019
116,22640,2020
116,24001,2021
116,24929,2022
116,28354,2023
116,19415,2024
381,9119,2007
381,13538,2008
381,22466,2009
381,22521,2010
381,22472,2011
381,15983,2012
381,23837,2013
381,18537,2014
381,12582,2015
381,11162,2016
381,11963,2017
381,9189,2018
381,8841,2019
381,7891,2020
381,7571,2021
381,7966,2022
381,9059,2023
381,6007,2024
40,7367,2007
40,10374,2008
40,16377,2009
40,20056,2010
40,21233,2011
40,13014,2012
40,19847,2013
40,17058,2014
40,12206,2015
40,10015,2016
40,10040,2017
40,8203,2018
40,8267,2019
40,7566,2020
40,7745,2021
40,7764,2022
40,8698,2023
40,5676,2024
153,4722,2007
153,7306,2008
153,12091,2009
153,14943,2010
153,15428,2011
153,10454,2012
153,15823,2013
153,14394,2014
153,10923,2015
153,9185,2016
153,10096,2017
153,7889,2018
153,7245,2019
153,7057,2020
153,6825,2021
153,7216,2022
153,7589,2023
153,4923,2024
364,3739,2007
364,5530,2008
364,10656,2009
364,11364,2010
364,12765,2011
364,8748,2012
364,12501,2013
364,10961,2014
364,9009,2015
364,7248,2016
364,9012,2017
364,7559,2018
364,6576,2019
364,6174,2020
364,6190,2021
364,5722,2022
364,6038,2023
364,4549,2024
262,4841,2007
262,6779,2008
262,10803,2009
262,12061,2010
262,11602,2011
262,7161,2012
262,11596,2013
262,10432,2014
262,6861,2015
262,6188,2016
262,6064,2017
262,4853,2018
262,4816,2019
262,4468,2020
262,4457,2021
262,4279,2022
262,4505,2023
262,3280,2024
277,3289,2007
277,4778,2008
277,8996,2009
277,11224,2010
277,12315,2011
277,7899,2012
277,11442,2013
277,9560,2014
277,7192,2015
277,6025,2016
277,6923,2017
277,5131,2018
277,5127,2019
277,4501,2020
277,4903,2021
277,5254,2022
277,6023,2023
277,4068,2024
163,2277,2007
163,3350,2008
163,5911,2009
163,7417,2010
163,8811,2011
163,6038,2012
163,9729,2013
163,8591,2014
163,7408,2015
163,7013,2016
163,7649,2017
163,6077,2018
163,5855,2019
163,5705,2020
163,5994,2021
163,7041,2022
163,7057,2023
163,5111,2024
316,4311,2007
316,6648,2008
316,10609,2009
316,13488,2010
316,14140,2011
316,8043,2012
316,11764,2013
316,10006,2014
316,6805,2015
316,5197,2016
316,5009,2017
316,4073,2018
316,2795,2019
316,2944,2020
316,2844,2021
316,2810,2022
316,3220,2023
316,2166,2024
376,1194,2007
376,2172,2008
376,7571,2009
376,11747,2010
376,12318,2011
376,7374,2012
376,10988,2013
376,9269,2014
376,7403,2015
376,6004,2016
376,6811,2017
376,5431,2018
376,4824,2019
376,4148,2020
376,4580,2021
376,4567,2022
376,4837,2023
376,3206,2024
470,3142,2007
470,4174,2008
470,7521,2009
470,8111,2010
470,7888,2011
470,4487,2012
470,7150,2013
470,7048,2014
470,5695,2015
470,5009,2016
470,5484,2017
470,4578,2018
470,4847,2019
470,3816,2020
470,3756,2021
470,3687,2022
470,3630,2023
470,2460,2024
230,2829,2007
230,4491,2008
230,7225,2009
230,7960,2010
230,7788,2011
230,5245,2012
230,8583,2013
230,7146,2014
230,5866,2015
230,4043,2016
230,4023,2017
230,3409,2018
230,3219,2019
230,2987,2020
230,3179,2021
230,3482,2022
230,3662,2023
230,2788,2024
282,3014,2007
282,3756,2008
282,6372,2009
282,7211,2010
282,7107,2011
282,4637,2012
282,6913,2013
282,6999,2014
282,5338,2015
282,4265,2016
282,4528,2017
282,3807,2018
282,3805,2019
282,3158,2020
282,2929,2021
282,2997,2022
282,3155,2023
282,2567,2024
116,25292,2007
116,36661,2008
116,57001,2009
116,65243,2010
116,68792,2011
116,44374,2012
116,67360,2013
116,61320,2014
116,42247,2015
116,32445,2016
116,32617,2017
116,24769,2018
116,24252,2019
116,22640,2020
116,24001,2021
116,24929,2022
116,28354,2023
116,19415,2024
101,25947,2007
101,36838,2008
101,60484,2009
101,67859,2010
101,71097,2011
101,45275,2012
101,69165,2013
101,65746,2014
101,45564,2015
101,31645,2016
101,32728,2017
101,27344,2018
101,27411,2019
101,25286,2020
101,27183,2021
101,26584,2022
101,28909,2023
101,20890,2024
60,1892,2007
60,2630,2008
60,4756,2009
60,5266,2010
60,4987,2011
60,3207,2012
60,5514,2013
60,5060,2014
60,4296,2015
60,3900,2016
60,3805,2017
60,2752,2018
60,2618,2019
60,2536,2020
60,2513,2021
60,2221,2022
60,2429,2023
60,1885,2024
324,1972,2007
324,3041,2008
324,4893,2009
324,5956,2010
324,6412,2011
324,4223,2012
324,6050,2013
324,6079,2014
324,3786,2015
324,2699,2016
324,2290,2017
324,1882,2018
324,1794,2019
324,1610,2020
324,1705,2021
324,1847,2022
324,2172,2023
324,1634,2024
20,1351,2007
20,1945,2008
20,3316,2009
20,3913,2010
20,3857,2011
20,2743,2012
20,4415,2013
20,4429,2014
20,3295,2015
20,3033,2016
20,2979,2017
20,2513,2018
20,2583,2019
20,2575,2020
20,2500,2021
20,2248,2022
20,2280,2023
20,1451,2024
476,1204,2007
476,2817,2008
476,4809,2009
476,5652,2010
476,5749,2011
476,3134,2012
476,4699,2013
476,3509,2014
476,2644,2015
476,2249,2016
476,2489,2017
476,2175,2018
476,2268,2019
476,2065,2020
476,1872,2021
476,1936,2022
476,1123,2023
476,788,2024
